,Make,Ex-Showroom_Price,Displacement,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Type
0,Tata Nano Genx Xt,"Rs. 2,92,667",624 cc,24 litres,Petrol,?23.6 km/litre,Manual
1,Tata Nano Genx Xe,"Rs. 2,36,447",624 cc,24 litres,Petrol,?23.6 km/litre,Manual
2,Tata Nano Genx Emax Xm,"Rs. 2,96,661",624 cc,15 litres,CNG,,Manual
3,Tata Nano Genx Xta,"Rs. 3,34,768",624 cc,24 litres,Petrol,?23.6 km/litre,Automatic
4,Tata Nano Genx Xm,"Rs. 2,72,223",624 cc,24 litres,Petrol,?23.6 km/litre,Manual
5,Tata Nano Genx Xma,"Rs. 3,14,815",624 cc,24 litres,Petrol,?23.6 km/litre,Automatic
6,Datsun Redi-Go D,"Rs. 2,79,650",799 cc,28 litres,Petrol,21.38 km/litre,Manual
7,Datsun Redi-Go T,"Rs. 3,51,832",799 cc,28 litres,Petrol,21.38 km/litre,Manual
8,Datsun Redi-Go A,"Rs. 3,33,419",799 cc,28 litres,Petrol,21.38 km/litre,Manual
9,Datsun Redi-Go S,"Rs. 3,62,000",799 cc,28 litres,Petrol,21.38 km/litre,Manual
10,Datsun Redi-Go 1.0 S,"Rs. 3,90,000",999 cc,28 litres,Petrol,,Manual
11,Datsun Redi-Go 1.0 S Amt,"Rs. 4,37,065",999 cc,28 litres,Petrol,,Automatic
12,Renault Kwid Rxe 0.8,"Rs. 3,53,290",799 cc,28 litres,Petrol,25.17 km/litre,Manual
13,Renault Kwid Std 0.8,"Rs. 2,83,290",799 cc,28 litres,Petrol,25.17 km/litre,Manual
14,Renault Kwid Rxl 0.8,"Rs. 3,83,290",799 cc,28 litres,Petrol,25.17 km/litre,Manual
15,Renault Kwid Rxt 0.8,"Rs. 4,13,290",799 cc,28 litres,Petrol,25.17 km/litre,Manual
16,Renault Kwid Rxt 1.0,"Rs. 4,33,290",999 cc,28 litres,Petrol,25.17 km/litre,Manual
17,Renault Kwid Climber 1.0 Mt,"Rs. 4,54,490",999 cc,28 litres,Petrol,25.17 km/litre,Manual
18,Renault Kwid Rxt Amt 1.0,"Rs. 4,63,290",999 cc,28 litres,Petrol,25.17 km/litre,Automatic
19,Renault Kwid Climber Amt 1.0,"Rs. 4,84,490",999 cc,28 litres,Petrol,25.17 km/litre,Automatic
20,Renault Kwid Rxt (O) 1.0,"Rs. 4,40,990",999 cc,28 litres,Petrol,25.17 km/litre,Manual
21,Renault Kwid Rxt (O) Amt 1.0,"Rs. 4,70,990",999 cc,28 litres,Petrol,25.17 km/litre,Automatic
22,Renault Kwid Climber (O) Mt 1.0,"Rs. 4,62,190",999 cc,28 litres,Petrol,25.17 km/litre,Manual
23,Renault Kwid Climber (O) Amt 1.0,"Rs. 4,92,190",999 cc,28 litres,Petrol,25.17 km/litre,Automatic
24,Maruti Suzuki Eeco 5 Str,"Rs. 3,52,136",1196 cc,40 litres,Petrol,12 km/litre,Manual
25,Maruti Suzuki Eeco 7 Str,"Rs. 3,80,573",1196 cc,40 litres,Petrol,12 km/litre,Manual
26,Maruti Suzuki Eeco 5 Str With Ac+Htr,"Rs. 3,92,967",1196 cc,40 litres,Petrol,11 km/litre,Manual
27,Maruti Suzuki Eeco 5 Str With Ac+Htr Cng,"Rs. 4,66,057",1196 cc,40 litres,CNG,,Manual
28,Maruti Suzuki Eeco 5 Str With Htr Cng,"Rs. 4,25,255",1196 cc,40 litres,CNG,,Manual
29,Maruti Suzuki Alto K10 Lxi,"Rs. 3,77,588",998 cc,35 litres,Petrol,14 km/litre,Manual
30,Maruti Suzuki Alto K10 Vxi,"Rs. 3,94,036",998 cc,35 litres,Petrol,14 km/litre,Manual
31,Maruti Suzuki Alto K10 Lx,"Rs. 3,60,843",998 cc,35 litres,Petrol,19 km/litre,Manual
32,Maruti Suzuki Alto K10 Vxi (O),"Rs. 4,07,238",998 cc,35 litres,Petrol,14 km/litre,Manual
33,Maruti Suzuki Alto K10 Lxi Cng (O),"Rs. 4,39,777",998 cc,35 litres,CNG,,Manual
34,Maruti Suzuki Alto K10 Vxi Amt (O),"Rs. 4,38,559",998 cc,35 litres,Petrol,14 km/litre,Automatic
35,Datsun Go D,"Rs. 3,74,990",1198 cc,35 litres,Petrol,,Manual
36,Datsun Go T,"Rs. 4,68,229",1198 cc,35 litres,Petrol,,Manual
37,Datsun Go T (O),"Rs. 5,02,492",1198 cc,35 litres,Petrol,20.6 km/litre,Manual
38,Datsun Go A (O),"Rs. 4,99,990",1198 cc,35 litres,Petrol,20.6 km/litre,Manual
39,Datsun Go A,"Rs. 4,69,990",1198 cc,35 litres,Petrol,20.6 km/litre,Manual
40,Datsun Go T Vdc,"Rs. 5,28,464",1198 cc,35 litres,Petrol,,Manual
41,Datsun Go T (O) Vdc,"Rs. 5,53,015",1198 cc,35 litres,Petrol,20.6 km/litre,Manual
42,Datsun Go T Cvt,"Rs. 5,94,464",1198 cc,35 litres,Petrol,,Manual
43,Datsun Go T (O) Cvt,"Rs. 6,18,015",1198 cc,35 litres,Petrol,20.6 km/litre,Manual
44,Maruti Suzuki Celerio Tour H2,"Rs. 4,22,444",998 cc,35 litres,Petrol,23 km/litre,Manual
45,Maruti Suzuki Celerio Tour H2 Cng,"Rs. 4,80,670",998 cc,60 litres,CNG,,Manual
46,Hyundai Santro Era Mt,"Rs. 4,29,990",1086 cc,35 litres,Petrol,,Manual
47,Hyundai Santro Magna Mt,"Rs. 5,03,990",1086 cc,35 litres,Petrol,,Manual
48,Hyundai Santro Magna Mt Cng,"Rs. 5,47,990",1086 cc,35 litres,CNG,,Manual
49,Hyundai Santro Magna Amt,"Rs. 5,30,990",1086 cc,35 litres,Petrol,,AMT
50,Hyundai Santro Sportz Mt,"Rs. 5,12,990",1086 cc,35 litres,Petrol,,Manual
51,Hyundai Santro Sportz Mt Cng,"Rs. 5,78,990",1086 cc,60 litres,CNG,,Manual
52,Hyundai Santro Sportz Amt,"Rs. 5,70,990",1086 cc,35 litres,Petrol,,AMT
53,Hyundai Santro Asta Mt,"Rs. 5,56,490",1086 cc,35 litres,Petrol,,Manual
54,Tata Tiago Revotron Xe,"Rs. 4,60,000",1199 cc,35 litres,Petrol,,Manual
55,Tata Tiago Revotron Xt,"Rs. 5,20,000",1199 cc,35 litres,Petrol,23.84 km/litre,Manual
56,Tata Tiago Revotron Xz,"Rs. 5,70,000",1199 cc,35 litres,Petrol,23.84 km/litre,Manual
57,Tata Tiago Revotron Xz Plus,"Rs. 5,99,000",1199 cc,35 litres,Petrol,23.84 km/litre,Manual
58,Tata Tiago Revotron Xz Plus Dual Tone,"Rs. 6,10,000",1199 cc,35 litres,Petrol,23.84 km/litre,Manual
59,Tata Tiago Revotron Xza,"Rs. 6,20,000",1199 cc,35 litres,Petrol,23.84 km/litre,AMT
60,Tata Tiago Revotron Xza Plus,"Rs. 6,49,000",1199 cc,35 litres,Petrol,23.84 km/litre,AMT
61,Tata Tiago Revotron Xza Plus Dual Tone,"Rs. 6,60,000",1199 cc,35 litres,Petrol,23.84 km/litre,AMT
62,Maruti Suzuki Celerio X Vxi (O),"Rs. 4,81,074",998 cc,35 litres,Petrol,23 km/litre,Manual
63,Maruti Suzuki Celerio X Vxi,"Rs. 4,75,198",998 cc,35 litres,Petrol,23 km/litre,Manual
64,Maruti Suzuki Celerio X Vxi Amt,"Rs. 5,18,198",998 cc,35 litres,Petrol,23 km/litre,Automatic
65,Maruti Suzuki Celerio X Vxi Amt (O),"Rs. 5,24,074",998 cc,35 litres,Petrol,23 km/litre,Automatic
66,Maruti Suzuki Celerio X Zxi,"Rs. 4,99,734",998 cc,35 litres,Petrol,23 km/litre,Manual
67,Maruti Suzuki Celerio X Zxi (O),"Rs. 5,40,350",998 cc,35 litres,Petrol,23 km/litre,Manual
68,Maruti Suzuki Celerio X Zxi Amt,"Rs. 5,42,735",998 cc,35 litres,Petrol,23 km/litre,Automatic
69,Maruti Suzuki Celerio X Zxi Amt (O),"Rs. 5,52,350",998 cc,35 litres,Petrol,23 km/litre,Automatic
70,Maruti Suzuki Ignis Alpha 1.2 Amt,"Rs. 7,13,898",1197 cc,32 litres,Petrol,20.89 km/litre,AMT
71,Maruti Suzuki Ignis Alpha 1.2 Mt,"Rs. 6,66,898",1197 cc,32 litres,Petrol,20.89 km/litre,Manual
72,Maruti Suzuki Ignis Delta 1.2 Amt,"Rs. 6,07,841",1197 cc,32 litres,Petrol,20.89 km/litre,AMT
